nohup: ignoring input
/usr/local/lib/python3.10/dist-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Generating 3000000 trajectories...
Progress: 2260000/3000000 (Elapsed: 19646.92s)
Progress: 2265000/3000000 (Elapsed: 19691.06s)
Progress: 2270000/3000000 (Elapsed: 19734.70s)
Progress: 2275000/3000000 (Elapsed: 19778.49s)
Progress: 2280000/3000000 (Elapsed: 19822.71s)
Progress: 2285000/3000000 (Elapsed: 19868.01s)
Progress: 2290000/3000000 (Elapsed: 19911.36s)
Progress: 2295000/3000000 (Elapsed: 19954.45s)
Progress: 2300000/3000000 (Elapsed: 19997.83s)
Progress: 2305000/3000000 (Elapsed: 20041.77s)
Progress: 2310000/3000000 (Elapsed: 20085.20s)
Progress: 2315000/3000000 (Elapsed: 20128.96s)
Progress: 2320000/3000000 (Elapsed: 20173.66s)
Progress: 2325000/3000000 (Elapsed: 20217.41s)
Progress: 2330000/3000000 (Elapsed: 20262.22s)
Progress: 2335000/3000000 (Elapsed: 20306.63s)
Progress: 2340000/3000000 (Elapsed: 20350.76s)
Progress: 2345000/3000000 (Elapsed: 20394.67s)
Progress: 2350000/3000000 (Elapsed: 20437.69s)
Progress: 2355000/3000000 (Elapsed: 20481.42s)
Progress: 2360000/3000000 (Elapsed: 20523.85s)
Progress: 2365000/3000000 (Elapsed: 20567.54s)
Progress: 2370000/3000000 (Elapsed: 20611.87s)
Progress: 2375000/3000000 (Elapsed: 20655.51s)
Progress: 2380000/3000000 (Elapsed: 20699.57s)
Progress: 2385000/3000000 (Elapsed: 20743.48s)
Progress: 2390000/3000000 (Elapsed: 20787.16s)
Progress: 2395000/3000000 (Elapsed: 20830.03s)
Progress: 2400000/3000000 (Elapsed: 20874.37s)
Progress: 2405000/3000000 (Elapsed: 20919.46s)
Progress: 2410000/3000000 (Elapsed: 20963.25s)
Progress: 2415000/3000000 (Elapsed: 21006.93s)
Progress: 2420000/3000000 (Elapsed: 21051.57s)
Progress: 2425000/3000000 (Elapsed: 21094.13s)
Progress: 2430000/3000000 (Elapsed: 21137.18s)
Progress: 2435000/3000000 (Elapsed: 21181.54s)
Progress: 2440000/3000000 (Elapsed: 21224.56s)
Progress: 2445000/3000000 (Elapsed: 21268.91s)
